label,text
-0.024944956328435186,"
Высоцкий с нами! Враг не пройдет!!"
0.9193255206892204,"
МММ...это был рай!!!!"
-0.8103171366241181,"
Наш город настолько обмельчал, что факты высасывают не только из пальца, но и из постов в вк. )"
-0.04167196480316304,"
О чем я говорила в маршрутке"
0.08620113235438737,"
хаха...полюбому вот они твои танцульки)))"
0.06311951361662493," ОБНОВА!!!! 
старая)"
-0.05320524300514471," Свентовит.
Верховным Богом у Славян был Бог Род, Сварог, Святовит. Ибо тайна та велика есть: как Сварог и Перун — есть в то же время и Свентовит. И только пойдя путём прославления Родных Богов эту тайну можно раскрыть. Славянский бог солнца, единый в четырех годичных сезонных ипостасях: Коляда-Ярило-Купайла- Световит. Исконные знания славян ""Праведы"" заказать  ; смотреть фильм ""Белый Тигр""  15260032_163831503"
-0.0770166958085174, добавляйтесь в друзья
0.07997558363019924, немного комментариев на тему того чем я тут занимаюсь
0.09565975654384265, твой фейк?
0.8733322179310555,!!!Братишка ПоЗдРаВлЯю ТеБя С ДнЁм РоЖдЕнИ!!!
-0.7108507523918858,!знаешь наверное не обизательно выходить из ВК ес не хош говорить со мной!!!
-0.983705515702068,""" Бывшие парни - как жвачка - пожевала и выплюнула. Да, было вкусно, но с пола не хочется. ”©"
0.09464593845566815,"""...Вообще-то я хороший. Жаль подтвердить некому..."""
0.02409681217262502,"""...Тот, кто любит, должен разделять участь того, кого он любит.""

 (с) Михаил Афанасьевич Булгаков, 
Дьявольски Божественный Роман ""Мастер и Маргарита"""
-0.09738560685479805,"""В долине слепцов одноглазый мужчина - король»"
-0.041475914988062336,"""Вооруженные силы спасли меня, – заявил на днях в эфире государственного телевидения конгрессмен Иван Морейра. – Они спасли меня от жизни в условиях марксистской диктатуры. Пиночет спас жизнь целого поколения"""
0.025842470373006965,"""Да что ты знаешь об упоротости, петушок!"" (с) Сальвадор Дали"
0.058395552094402337,"""Как ни крути, Женщина в Жизни Мужчины бывает только Одна, все остальные - это ее тени"" ♡ Коко Шанель ♡"
0.040789958887062744,"""Мои года - моё богатство""Но,чёрт возьми,как хочется разориться!"
0.09196221744018321,"""ПЕРЕПОСТ!!!
По России открыты Пункты приема гуманитарной помощи для Юго-Востока Украины(адреса внизу)."" Это реально? не фейк не воровство? мне есть что отправить"
0.09309563113658459,"""Перемена жизни к лучшему, сытость, праздность, развивают в русском человеке самомнение, самое наглое."""
-0.02007947260370728,"""Психология лжи"""
0.09673660403434348,"""Тебя,тебя и только тебя!!!!"" меня?)"
-0.07159511970399611,"""Тут от «Билайна» пришла СМС – мол, общайтесь теперь с друзьями в три раза больше! Хорошо, конечно, но у меня печень не выдержит!""

;)"
0.731601896881078,"""Факел"" Юбилейный -2-ое место в чемпе Тотемского района!"
0.06875251051432749,"""Цена улыбки в Рождество. Она ничего не стоит, но создает много.
Она обогащает тех, кто ее получает, не обедняя тех, кто дает.
Она длится одно мгновение, память же о ней иногда сохраняется навсегда.
Нет столь богатых, которые бы могли прожить без нее, и нет столь бедных, которые не стали бы богаче по ее милости. Она создает счастье в доме, атмосферу доброжелательности в делах и служит паролем для друзей.
Она вдохновение для утомленного, свет надежды для отчаявшегося, сияние солнца для удрученного и лучшее из природных средств против горя.
Тем не менее, ее нельзя ни купить, ни выпросить, ни одолжить, ни украсть, ибо она представляет собой некую ценность, которая не принесет ни малейшей пользы никому, если только не будет отдана от чистого сердца.""
(c) Дейл Карнеги"
-0.7358548658009085,"""Чем меньше девушку мы любим,тем больше нравимся мы ей""...как эта правда бесит..."
-0.044790148517196204,"""Чтобы дожить до 90 лет, нужно всецело любить жизнь"", - заявил в обращении к своим поклонникам Рэю Брэдбери."
0.7441436964781821,"""Я люблю тебя, жизнь!я люблю тебя снова и снова!"" правда.ну очень люблю:)"
-0.020724925755592455,"""аалло!Настя!! я сейчас на невском в метро! где метро??!!! ""  (с) Рита Гаврилова"
-0.054191328650268926,"""не надо меня кормить, я сама кормлюсь. у меня пузо хочет кушать"" Кирка"
0.03049722505910904,"""пятка"" по кавказки, завернута в лаваш )))"
